district,date,tb_case,co,nh3,no2,o3,pm10,so2,humidity,avg_temp,air_pressure,solar_radiation,precipitation
Achham,2021-01-01,14,718.9845161290323,3.399677419354839,3.964193548387097,43.97709677419355,119.34806451612903,1.2861290322580645,39.00032258064516,16.65,96.78064516129032,3.101290322580645,10.38
Achham,2021-02-01,14,701.0649999999999,6.577500000000001,4.583928571428571,68.38464285714285,144.4975,2.8482142857142856,31.17535714285714,20.133928571428573,96.74607142857143,4.378928571428571,1.49
Achham,2021-03-01,7,541.065806451613,10.934193548387096,4.3106451612903225,78.4158064516129,88.91774193548386,3.4970967741935484,22.25032258064516,25.669354838709676,96.43161290322581,5.6654838709677415,3.31
Achham,2021-04-01,23,496.8453333333334,6.746333333333333,3.0146666666666664,84.11866666666667,63.79766666666667,2.3606666666666665,20.021,29.23033333333333,96.22,6.691999999999999,25.63
Achham,2021-05-01,7,523.6364516129032,2.8083870967741937,1.865483870967742,38.36387096774193,45.65387096774194,0.8090322580645161,47.66967741935484,29.167096774193546,95.95483870967742,5.258387096774193,238.78
Achham,2021-06-01,12,451.95633333333336,1.6983333333333335,1.54,28.743666666666666,31.20966666666667,0.8136666666666666,69.636,29.203666666666667,95.555,4.580333333333333,345.24
Achham,2021-07-01,16,393.81387096774193,0.9470967741935483,1.3474193548387097,20.42225806451613,16.656129032258065,0.2958064516129032,80.49838709677418,28.609354838709677,95.48483870967742,4.396129032258065,325.73
Achham,2021-08-01,14,457.4348387096774,1.3151612903225807,1.8641935483870968,18.41516129032258,21.260322580645163,0.422258064516129,85.73645161290322,27.586774193548386,95.65451612903226,3.8783870967741936,372.17
Achham,2021-09-01,22,420.8856666666667,2.165,2.265333333333333,18.279999999999998,21.569666666666667,0.35666666666666663,83.73133333333334,26.908666666666665,95.99466666666667,4.447666666666667,159.75
Achham,2021-10-01,5,573.8783870967742,2.599354838709677,2.4848387096774194,33.4841935483871,94.80354838709677,1.1422580645161289,78.83354838709678,24.324516129032258,96.3016129032258,4.185483870967742,152.88
Achham,2021-11-01,13,630.5676666666666,3.1086666666666662,3.355,45.641,119.632,1.4586666666666666,70.28366666666668,17.791666666666668,96.71499999999999,3.6963333333333335,0.03
Achham,2021-12-01,14,645.9925806451613,3.4561290322580644,4.008709677419355,36.273870967741935,85.69967741935484,1.055806451612903,65.70064516129032,14.91709677419355,97.05032258064516,2.8845161290322583,20.869999999999997
Achham,2022-01-01,14,671.3312903225807,2.543225806451613,3.6345161290322583,31.682903225806452,81.86258064516129,0.9838709677419355,74.6783870967742,12.845806451612905,96.91064516129032,2.601935483870968,38.3
Achham,2022-02-01,15,663.1685714285715,5.312142857142858,4.135714285714285,52.776428571428575,90.47285714285714,1.8157142857142858,67.0225,15.103571428571428,96.67892857142859,3.9074999999999998,81.95
Achham,2022-03-01,19,619.7825806451613,10.07258064516129,4.098387096774194,68.77548387096775,103.5083870967742,3.075806451612903,45.53290322580645,24.62258064516129,96.36225806451613,5.771612903225806,0.21000000000000002
